"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010001,"Platinum 90 HMO",18126CA001,,CAN001,CAS001,CAF001,Existing,HMO,Platinum,No,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010001-01,"Standard Platinum On Exchange Plan",,0.919208836,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,000 ","$5000 per person | $10000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$400 ","$1,100 ","$0 ","$0 ","$600 ","$80 ","$0 ",100%,"Not Applicable",No,"Platinum 90 HMO","$0 ","$700 ","$30 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010001,"Platinum 90 HMO",18126CA001,,CAN001,CAS001,CAF001,Existing,HMO,Platinum,No,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010001-02,"Zero Cost Sharing Plan Variation",,1,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"$0 Cost Share HMO AI-AN","$0 ","$0 ","$0 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010001,"Platinum 90 HMO",18126CA001,,CAN001,CAS001,CAF001,Existing,HMO,Platinum,No,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010001-03,"Limited Cost Sharing Plan Variation",,0.919208836,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,000 ","$5000 per person | $10000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$400 ","$1,100 ","$0 ","$0 ","$600 ","$80 ","$0 ",100%,"Not Applicable",No,"Platinum 90 HMO AI-AN","$0 ","$700 ","$30 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010002,"Gold 80 HMO",18126CA001,,CAN001,CAS001,CAF002,Existing,HMO,Gold,No,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010002-01,"Standard Gold On Exchange Plan",,0.813899777,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,200 ","$9200 per person | $18400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$700 ","$3,300 ","$0 ","$0 ","$1,500 ","$200 ","$0 ",100%,"Not Applicable",No,"Gold 80 HMO","$0 ","$1,200 ","$60 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010002,"Gold 80 HMO",18126CA001,,CAN001,CAS001,CAF002,Existing,HMO,Gold,No,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010002-02,"Zero Cost Sharing Plan Variation",,1,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"$0 Cost Share HMO AI-AN","$0 ","$0 ","$0 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010002,"Gold 80 HMO",18126CA001,,CAN001,CAS001,CAF002,Existing,HMO,Gold,No,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010002-03,"Limited Cost Sharing Plan Variation",,0.813899777,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,200 ","$9200 per person | $18400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$700 ","$3,300 ","$0 ","$0 ","$1,500 ","$200 ","$0 ",100%,"Not Applicable",No,"Gold 80 HMO AI-AN","$0 ","$1,200 ","$60 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010003,"Silver 70 HMO",18126CA001,,CAN001,CAS001,CAF003,Existing,HMO,Silver,Yes,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010003-01,"Standard Silver On Exchange Plan",71.78%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,800 ","$9800 per person | $19600 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$5,200 ","$5200 per person | $10400 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$50 ","$50 per person | $100 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$5,200 ","$800 ","$1,800 ","$0 ","$50 ","$1,600 ","$200 ","$0 ",100%,"Not Applicable",No,"Silver 70 HMO","$0 ","$1,300 ","$60 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010003,"Silver 70 HMO",18126CA001,,CAN001,CAS001,CAF003,Existing,HMO,Silver,Yes,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010003-02,"Zero Cost Sharing Plan Variation",100.00%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",100%,"Not Applicable",No,"$0 Cost Share HMO AI-AN","$0 ","$0 ","$0 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010003,"Silver 70 HMO",18126CA001,,CAN001,CAS001,CAF003,Existing,HMO,Silver,Yes,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010003-03,"Limited Cost Sharing Plan Variation",71.78%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,800 ","$9800 per person | $19600 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$5,200 ","$5200 per person | $10400 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$50 ","$50 per person | $100 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$5,200 ","$800 ","$1,800 ","$0 ","$50 ","$1,600 ","$200 ","$0 ",100%,"Not Applicable",No,"Silver 70 HMO AI-AN","$0 ","$1,300 ","$60 ","$0 "
2026,CA,,18126,SERFF,1,1/13/2026,,Individual,No,,18126CA0010003,"Silver 70 HMO",18126CA001,,CAN001,CAS001,CAF003,Existing,HMO,Silver,Yes,"On the Exchange",No,No,,,No,,,"Allows Adult and Child-Only",,Yes,,,,"$250 ",,,,1/1/2026,12/31/2026,No,,No,,No,,,,,18126CA0010003-04,"73% AV Level Silver Plan",73.81%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$8,100 ","$8100 per person | $16200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$5,200 ","$5200 per person | $10400 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$50 ","$50 per person | $100 per group",30.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$5,200 ","$800 ","$1,800 ","$0 ","$50 ","$1,600 ","$200 ","$0 ",100%,"Not Applicable",No,"Silver 73 HMO","$0 ","$1,300 ","$60 ","$0 "
