"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","STANDARD COMPONENT ID","PLAN ID","BENEFIT NAME","IS EHB","IS STATE MANDATE","IS COVERED","QUANTITY LIMIT ON SVC","LIMIT QUANTITY","LIMIT UNIT","MINIMUM STAY",EXCLUSIONS,EXPLANATION,"EHB VAR REASON","IS SUBJECTED TO DED TIER 1","IS SUBJECTED TO DED TIER 2","IS EXCLUDED FROM INN MOOP","IS EXCLUDED FROM OON MOOP"
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Outpatient Surgery Physician/Surgical Services",Yes,,Yes,No,,,,,,,,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Reconstructive Surgery",Yes,,Yes,No,,,,,"Reconstructive procedures when the primary purpose of the procedure is either to treat a medical condition or to improve or restore physiologic function. Reconstructive procedures include surgery or other procedures which are associated with an Injury, Sickness or Congenital Anomaly.",,,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Mental/Behavioral Health Outpatient Services",Yes,,Yes,No,,,,,,,,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Laboratory Outpatient and Professional Services",Yes,,Yes,No,,,,,,,,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,Transplant,Yes,,Yes,No,,,,,,,,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Delivery and All Inpatient Services for Maternity Care",Yes,,Yes,No,,,,,,,,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Weight Loss Programs",No,,No,,,,,,,,,,,
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Rehabilitative Occupational and Rehabilitative Physical Therapy",Yes,,Yes,No,,,,,,"Substantially Equal",,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Outpatient Rehabilitation Services",Yes,,Yes,No,,,,,"Visit limits do not apply to Physical, Occupational, Speech and Pulmonary Therapy. 30 visits per year for Post-Cochlear Implant Aural Therapy. 20 visits per year for Cognitive Therapy. 90 visits per year for Cardiac Rehabilitation Therapy.","Substantially Equal",,,No,Yes
2026,DC,21066,SERFF,1,1/13/2026,21066DC0040008,21066DC0040008-01,"Major Dental Care - Child",Yes,,Yes,No,,,,,,,,,No,Yes
