"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,DC,,21066,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,21066DC0040008,"Standard UHC Core Essential Platinum 0-4",21066DC004,,DCN001,DCS001,DCF005,Existing,HMO,Platinum,Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,5,,,1/1/2026,,No,,No,,No,,,,,21066DC0040008-01,"Standard Platinum On Exchange Plan",92.00%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$2,100 ","$2100 per person | $4200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$500 ","$100 ","$60 ","$0 ","$400 ","$20 ","$0 ",,,No,"Standard UHC Core Essential Platinum 0-4","$0 ","$700 ","$0 ","$0 "
2026,DC,,21066,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,21066DC0040009,"Standard UHC Core Essential Gold 500",21066DC004,,DCN001,DCS001,DCF006,Existing,HMO,Gold,Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,5,,,1/1/2026,,No,,No,,No,,,,,21066DC0040009-01,"Standard Gold On Exchange Plan",82.00%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$6,050 ","$6050 per person | $12100 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$500 ","$500 per person | $1000 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$500 ","$900 ","$200 ","$60 ","$200 ","$600 ","$0 ","$0 ",,,No,"Standard UHC Core Essential Gold 500","$40 ","$1,000 ","$0 ","$0 "
2026,DC,,21066,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,21066DC0040010,"UHC Core Essential Gold 750-2",21066DC004,,DCN001,DCS001,DCF003,Existing,HMO,Gold,Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,No,,No,,,,,21066DC0040010-01,"Standard Gold On Exchange Plan",81.50%,,No,Yes,Yes,42,58,,,,,,,,,,,,,,,,,"$9,000 ","$9000 per person | $18000 per group","$9,000 ","$9000 per person | $18000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$750 ","$750 per person | $1500 per group",20.00%,"$750 ","$750 per person | $1500 per group",20.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,"$0 ","$0 per person | $0 per group",0.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$750 ","$10 ","$1,800 ","$60 ","$200 ","$500 ","$0 ","$0 ",,,No,"UHC Core Essential Gold 750-2","$750 ","$200 ","$300 ","$0 "
2026,DC,,21066,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,21066DC0040012,"Standard UHC Core Essential Silver 4850",21066DC004,,DCN001,DCS001,DCF001,Existing,HMO,Silver,Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,No,,No,,,,,21066DC0040012-01,"Standard Silver On Exchange Plan",71.80%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$8,850 ","$8850 per person | $17700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,850 ","$4850 per person | $9700 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$350 ","$350 per person | per group not applicable",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$4,850 ","$500 ","$1,000 ","$60 ","$200 ","$700 ","$0 ","$0 ",,,No,"Standard UHC Core Essential Silver 4850","$2,100 ","$500 ","$0 ","$0 "
2026,DC,,21066,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,21066DC0040013,"Standard UHC Core Essential Bronze 7500",21066DC004,,DCN001,DCS001,DCF002,Existing,HMO,"Expanded Bronze",Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,No,,No,,,,,21066DC0040013-01,"Standard Bronze On Exchange Plan",65.00%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,150 ","$9150 per person | $18300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$7,500 ","$7500 per person | $15000 per group",40.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$850 ","$850 per person | per group not applicable",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$7,500 ","$10 ","$1,500 ","$60 ","$300 ","$700 ","$0 ","$0 ",,,No,"Standard UHC Core Essential Bronze 7500","$2,600 ","$200 ","$0 ","$0 "
2026,DC,,21066,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,21066DC0040014,"UHC Core Essential HSA Bronze 6350",21066DC004,,DCN001,DCS001,DCF004,Existing,HMO,"Expanded Bronze",Yes,"On the Exchange",No,No,,,Yes,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,No,,No,,,,,21066DC0040014-01,"Standard Bronze On Exchange Plan",65.00%,,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$7,200 ","$7200 per person | $14400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,350 ","$6350 per person | $12700 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$6,350 ","$0 ","$800 ","$60 ","$1,700 ","$0 ","$0 ","$0 ",,,No,"UHC Core Essential HSA Bronze 6350","$2,800 ","$0 ","$0 ","$0 "
2026,DC,,41842,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,41842DC0010078,"UHC Choice Plus Gold 0-2",41842DC001,,DCN001,DCS001,DCF008,Existing,POS,Gold,Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,3,,,1/1/2026,,No,,Yes," Yes, enter With Network Provider, same as other Network Benefits",Yes,,,,,41842DC0010078-01,"Standard Gold On Exchange Plan",81.70%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$9,200 ","$9200 per person | $18400 per group",,,"$15,000 ","$15000 per person | $30000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$1,300 ","$0 ","$60 ","$0 ","$600 ","$0 ","$0 ",,,No,"UHC Choice Plus Gold 0-2","$0 ","$900 ","$0 ","$0 "
2026,DC,,41842,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,41842DC0080001,"UHC Choice Plus HSA Gold 2100",41842DC008,,DCN001,DCS001,DCF012,Existing,POS,Gold,Yes,"On the Exchange",No,No,,,Yes,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,Yes," Yes, enter With Network Provider, same as other Network Benefits",Yes,,,,,41842DC0080001-01,"Standard Gold On Exchange Plan",81.70%,,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,400 ","$8800 per person | $8800 per group",,,"$10,000 ","$20000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,100 ","$4200 per person | $4200 per group",10.00%,,,,"$3,000 ","$6000 per person | $6000 per group","Not Applicable","per person not applicable | per group not applicable","$2,100 ","$10 ","$900 ","$60 ","$1,700 ","$0 ","$0 ","$0 ",,,No,"UHC Choice Plus HSA Gold 2100","$2,100 ","$0 ","$70 ","$0 "
2026,DC,,41842,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,41842DC0080003,"UHC Choice Plus HSA Silver 2800",41842DC008,,DCN001,DCS001,DCF012,Existing,POS,Silver,Yes,"On the Exchange",No,No,,,Yes,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,Yes," Yes, enter With Network Provider, same as other Network Benefits",Yes,,,,,41842DC0080003-01,"Standard Silver On Exchange Plan",71.90%,,Yes,Yes,Yes,43,57,,,,,,,,,,,,,,,,,"$7,400 ","$7400 per person | $14800 per group","$7,400 ","$7400 per person | $14800 per group","$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,800 ","$5600 per person | $5600 per group",0.00%,"$2,800 ","$5600 per person | $5600 per group",0.00%,"$5,000 ","$10000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$2,800 ","$500 ","$0 ","$60 ","$1,700 ","$0 ","$0 ","$0 ",,,No,"UHC Choice Plus HSA Silver 2800","$2,800 ","$0 ","$0 ","$0 "
2026,DC,,41842,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,41842DC0080006,"UHC Choice Plus Platinum 0-1",41842DC008,,DCN001,DCS001,DCF011,Existing,POS,Platinum,Yes,"On the Exchange",No,No,,,No,No,,"Allows Adult and Child-Only",,No,"Pregnancy, Diabetes, Heart Disease",,,,,,,1/1/2026,,No,,Yes," Yes, enter With Network Provider, same as other Network Benefits",Yes,,,,,41842DC0080006-01,"Standard Platinum On Exchange Plan",91.40%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,000 ","$4000 per person | $8000 per group",,,"$4,000 ","$4000 per person | $8000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$2,000 ","$2000 per person | $4000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$10 ","$0 ","$60 ","$0 ","$300 ","$0 ","$0 ",,,No,"UHC Choice Plus Platinum 0-1","$0 ","$700 ","$0 ","$0 "
