"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010011,"Secure (Choice)",11574IL001,,ILN001,ILS001,ILF001,Existing,HMO,Catastrophic,No,Both,No,Yes,"All Specialist Providers",,Yes,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,3,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010011-01,"Standard Catastrophic On Exchange Plan",,,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$10,600 ","$0 ","$0 ","$0 ","$5,400 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"Secure (Choice)","$2,800 ","$0 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010045,"Silver Simple Diabetes (Choice)",11574IL001,,ILN001,ILS003,ILF001,Existing,HMO,Silver,Yes,Both,No,Yes,"All Specialist Providers",,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010045-01,"Standard Silver On Exchange Plan",70.03%,0.699447905,Yes,Yes,Yes,44,56,,,,,,,,,,,,,,,,,"$10,000 ","$10000 per person | $20000 per group","$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,500 ","$6500 per person | $13000 per group",50.00%,"$6,500 ","$6500 per person | $13000 per group",50.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$6,500 ","$200 ","$1,900 ","$0 ","$4,200 ","$200 ","$0 ","$0 ",99%,"Not Applicable",No,"Silver Simple Diabetes (Choice)","$2,600 ","$80 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010045,"Silver Simple Diabetes (Choice)",11574IL001,,ILN001,ILS003,ILF001,Existing,HMO,Silver,Yes,Both,No,Yes,"All Specialist Providers",,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010045-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,Yes,44,56,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,"$0 ","$0 per person | $0 per group",0.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"AIAN Cost Share (Choice)","$0 ","$0 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010045,"Silver Simple Diabetes (Choice)",11574IL001,,ILN001,ILS003,ILF001,Existing,HMO,Silver,Yes,Both,No,Yes,"All Specialist Providers",,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010045-03,"Limited Cost Sharing Plan Variation",70.03%,0.699447905,Yes,Yes,Yes,44,56,,,,,,,,,,,,,,,,,"$10,000 ","$10000 per person | $20000 per group","$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,500 ","$6500 per person | $13000 per group",50.00%,"$6,500 ","$6500 per person | $13000 per group",50.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"Silver Simple Diabetes (Choice)","$0 ","$0 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010045,"Silver Simple Diabetes (Choice)",11574IL001,,ILN001,ILS003,ILF001,Existing,HMO,Silver,Yes,Both,No,Yes,"All Specialist Providers",,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010045-04,"73% AV Level Silver Plan",73.63%,0.734939099,Yes,Yes,Yes,44,56,,,,,,,,,,,,,,,,,"$8,100 ","$8100 per person | $16200 per group","$8,100 ","$8100 per person | $16200 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,600 ","$4600 per person | $9200 per group",50.00%,"$4,600 ","$4600 per person | $9200 per group",50.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,600 ","$200 ","$2,800 ","$0 ","$4,200 ","$200 ","$0 ","$0 ",99%,"Not Applicable",No,"Silver Simple Diabetes CSR 250 (Choice)","$2,600 ","$80 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010045,"Silver Simple Diabetes (Choice)",11574IL001,,ILN001,ILS003,ILF001,Existing,HMO,Silver,Yes,Both,No,Yes,"All Specialist Providers",,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010045-05,"87% AV Level Silver Plan",87.26%,0.871933883,Yes,Yes,Yes,44,56,,,,,,,,,,,,,,,,,"$3,350 ","$3350 per person | $6700 per group","$3,350 ","$3350 per person | $6700 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$800 ","$800 per person | $1600 per group",30.00%,"$800 ","$800 per person | $1600 per group",30.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$800 ","$100 ","$2,400 ","$0 ","$0 ","$1,400 ","$0 ","$0 ",99%,"Not Applicable",No,"Silver Simple Diabetes CSR 200 (Choice)","$800 ","$50 ","$500 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010045,"Silver Simple Diabetes (Choice)",11574IL001,,ILN001,ILS003,ILF001,Existing,HMO,Silver,Yes,Both,No,Yes,"All Specialist Providers",,No,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010045-06,"94% AV Level Silver Plan",94.19%,0.941606898,Yes,Yes,Yes,44,56,,,,,,,,,,,,,,,,,"$1,550 ","$1550 per person | $3100 per group","$1,550 ","$1550 per person | $3100 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",30.00%,"$0 ","$0 per person | $0 per group",30.00%,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$40 ","$1,500 ","$0 ","$0 ","$500 ","$0 ","$0 ",99%,"Not Applicable",No,"Silver Simple Diabetes CSR 150 (Choice)","$0 ","$10 ","$800 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010050,"Bronze Classic Standard (Choice)",11574IL001,,ILN001,ILS001,ILF002,Existing,HMO,"Expanded Bronze",No,Both,No,Yes,"All Specialist Providers",,Yes,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010050-01,"Standard Bronze On Exchange Plan",,0.641164683,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,000 ","$10000 per person | $20000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$7,500 ","$7500 per person | $15000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$7,500 ","$20 ","$1,800 ","$0 ","$4,300 ","$500 ","$0 ","$0 ",99%,"Design 1",No,"Bronze Classic Standard (Choice)","$2,200 ","$300 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010050,"Bronze Classic Standard (Choice)",11574IL001,,ILN001,ILS001,ILF002,Existing,HMO,"Expanded Bronze",No,Both,No,Yes,"All Specialist Providers",,Yes,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010050-02,"Zero Cost Sharing Plan Variation",,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Design 1",No,"AIAN Cost Share (Choice)","$0 ","$0 ","$0 ","$0 "
2026,IL,,11574,SERFF,1,1/13/2026,,Individual,No,,11574IL0010050,"Bronze Classic Standard (Choice)",11574IL001,,ILN001,ILS001,ILF002,Existing,HMO,"Expanded Bronze",No,Both,No,Yes,"All Specialist Providers",,Yes,,,"Allows Adult and Child-Only",,No,"High Blood Pressure & High Cholesterol, Depression, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency and Urgent Services Only",No,,,,,11574IL0010050-03,"Limited Cost Sharing Plan Variation",,0.641164683,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,000 ","$10000 per person | $20000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$7,500 ","$7500 per person | $15000 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Design 1",No,"Bronze Classic Standard (Choice)","$0 ","$0 ","$0 ","$0 "
