"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","SERVICE AREA ID","SERVICE AREA NAME","COVER ENTIRE STATE",COUNTY,"COUNTY NAME","PARTIAL COUNTY","ZIP CODE","PARTIAL COUNTY JUSTIFICATION","MARKET COVERAGE","DENTAL PLAN ONLY"
2026,MA,11821,SERFF,1,01-13-2026,MAS001,"Delta Dental PPO",true,,,,,,Individual,Yes
2026,MA,11821,SERFF,1,01-13-2026,MAS002,"Delta Dental PPO",true,,,,,,"SHOP (Small Group)",Yes
2026,MA,18076,SERFF,1,01-13-2026,MAS001,"Altus Dental Service Area",true,,,,,,Individual,Yes
2026,MA,18076,SERFF,1,01-13-2026,MAS001,"Altus Dental Service Area",true,,,,,,"SHOP (Small Group)",Yes
2026,MA,24675,SERFF,1,01-13-2026,MAS001,"Dental Blue",true,,,,,,"SHOP (Small Group)",Yes
2026,MA,24675,SERFF,1,01-13-2026,MAS002,"Dental Blue PPO",true,,,,,,"SHOP (Small Group)",Yes
2026,MA,31779,SERFF,1,01-13-2026,MAS001,"MA IND Navigate",true,,,,,,Individual,No
2026,MA,31779,SERFF,1,01-13-2026,MAS002,"MA SG Choice Plus",true,,,,,,"SHOP (Small Group)",No
2026,MA,31779,SERFF,1,01-13-2026,MAS003,"MA SG Choice",true,,,,,,"SHOP (Small Group)",No
2026,MA,31779,SERFF,1,01-13-2026,MAS004,"MA SG Navigate",true,,,,,,"SHOP (Small Group)",No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Franklin - 25011",Franklin,false,,,Individual,No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Franklin - 25011",Franklin,false,,,"SHOP (Small Group)",No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Hampshire - 25015",Hampshire,false,,,"SHOP (Small Group)",No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Hampden - 25013",Hampden,true,"01001, 01008, 01009, 01010, 01011, 01013, 01014, 01020, 01021, 01022, 01026, 01028, 01030, 01034, 01036, 01040, 01041, 01050, 01056, 01057, 01069, 01071, 01075, 01077, 01079, 01080, 01081, 01085, 01086, 01089, 01090, 01095, 01097, 01101, 01102, 01103, 01104, 01105, 01106, 01107, 01108, 01109, 01111, 01115, 01116, 01118, 01119, 01128, 01129, 01138, 01139, 01144, 01151, 01152, 01199","HNE rates in all zip codes in Hampden County except 01521, which is in CMS Rating Area 2","SHOP (Small Group)",No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Hampden - 25013",Hampden,true,"01001, 01008, 01009, 01010, 01011, 01013, 01014, 01020, 01021, 01022, 01026, 01028, 01030, 01034, 01036, 01040, 01041, 01050, 01056, 01057, 01069, 01071, 01075, 01077, 01079, 01080, 01081, 01085, 01086, 01089, 01090, 01095, 01097, 01101, 01102, 01103, 01104, 01105, 01106, 01107, 01108, 01109, 01111, 01115, 01116, 01118, 01119, 01128, 01129, 01138, 01139, 01144, 01151, 01152, 01199","HNE rates in all zip codes in Hampden County except 01521, which is in CMS Rating Area 2",Individual,No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Worcester - 25027",Worcester,true,"01005, 01010, 01031, 01037, 01068, 01074, 01082, 01083, 01092, 01094, 01331, 01366, 01368","HNE rates for all zip codes in MA Rating Area 1","SHOP (Small Group)",No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Hampshire - 25015",Hampshire,false,,,Individual,No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Worcester - 25027",Worcester,true,"01005, 01010, 01031, 01037, 01068, 01074, 01082, 01083, 01092, 01094, 01331, 01366, 01368","HNE rates for all zip codes in MA Rating Area 1",Individual,No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Berkshire - 25003",Berkshire,false,,,Individual,No
2026,MA,34484,SERFF,1,01-13-2026,MAS001,"HNE Commercial Network",false,"Berkshire - 25003",Berkshire,false,,,"SHOP (Small Group)",No
2026,MA,36046,SERFF,1,01-13-2026,MAS001,"Full Service Area",true,,,,,,"SHOP (Small Group)",No
2026,MA,36046,SERFF,1,01-13-2026,MAS001,"Full Service Area",true,,,,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS001,"Commerical Service Area",true,,,,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS001,"Commerical Service Area",true,,,,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Nantucket - 25019",Nantucket,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Plymouth - 25023",Plymouth,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Middlesex - 25017",Middlesex,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Plymouth - 25023",Plymouth,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Dukes - 25007",Dukes,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Nantucket - 25019",Nantucket,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Essex - 25009",Essex,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Middlesex - 25017",Middlesex,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Bristol - 25005",Bristol,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Bristol - 25005",Bristol,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Norfolk - 25021",Norfolk,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Suffolk - 25025",Suffolk,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Essex - 25009",Essex,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Norfolk - 25021",Norfolk,false,,,Individual,No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Dukes - 25007",Dukes,false,,,"SHOP (Small Group)",No
2026,MA,41304,SERFF,1,01-13-2026,MAS002,"Select Service Area",false,"Suffolk - 25025",Suffolk,false,,,"SHOP (Small Group)",No
2026,MA,42690,SERFF,1,01-13-2026,MAS001,"HMO BLUE - Area1",true,,,,,,"SHOP (Small Group)",No
2026,MA,42690,SERFF,1,01-13-2026,MAS001,"HMO BLUE - Area1",true,,,,,,Individual,No
2026,MA,42690,SERFF,1,01-13-2026,MAS002,"PPO - Area2",true,,,,,,"SHOP (Small Group)",No
2026,MA,42690,SERFF,1,01-13-2026,MAS002,"PPO - Area2",true,,,,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Norfolk - 25021",Norfolk,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Bristol - 25005",Bristol,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Hampshire - 25015",Hampshire,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Plymouth - 25023",Plymouth,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Suffolk - 25025",Suffolk,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Berkshire - 25003",Berkshire,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Franklin - 25011",Franklin,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Middlesex - 25017",Middlesex,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Worcester - 25027",Worcester,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Hampden - 25013",Hampden,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Barnstable - 25001",Barnstable,false,,,Individual,No
2026,MA,59763,SERFF,1,01-13-2026,MAS001,"Tufts Health Direct Indv",false,"Essex - 25009",Essex,false,,,Individual,No
