"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,NY,,10345,SERFF,1,1/13/2026,,Individual,Yes,,10345NY0010001,"Delta Dental PPO Pediatric Basic Plan ST OON Pediatric Dental",10345NY001,,NYN001,NYS001,,Existing,PPO,Low,,Both,,,,,,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,No,,Yes,"Nationwide Network",Yes,,,,,10345NY0010001-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$65 ","$65 per person | $195 per group",,,,,"$65 ","$65 per person | $195 per group","$65 ","$65 per person | $195 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental PPO Pediatric Basic Plan ST OON Pediatric Dental",,,,
2026,NY,,10345,SERFF,1,1/13/2026,,Individual,Yes,,10345NY0010006,"Delta Dental PPO Basic Plan for Families NS OON Dep 25 Family Dental",10345NY001,,NYN001,NYS001,,Existing,PPO,Low,,"On the Exchange",,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,No,,Yes,"Nationwide Network",Yes,,,,,10345NY0010006-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","$65 ","$65 per person | $195 per group",,,,,,,,,,,,,,,,,"$65 ","$65 per person | $195 per group",,,,,"$65 ","$65 per person | $195 per group","$65 ","$65 per person | $195 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental PPO Basic Plan for Families NS OON Dep 25 Family Dental",,,,
2026,NY,,10345,SERFF,1,1/13/2026,,Individual,Yes,,10345NY0010008,"Delta Dental PPO Preferred Plan for Families Adult Standard ST OON Dep 25 Adult/Family Dental",10345NY001,,NYN001,NYS001,,New,PPO,High,,"On the Exchange",,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,No,,Yes,"Nationwide Network",Yes,,,,,10345NY0010008-01,"Standard High On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","$65 ","$65 per person | $195 per group",,,,,,,,,,,,,,,,,"$65 ","$65 per person | $195 per group",,,,,"$65 ","$65 per person | $195 per group","$65 ","$65 per person | $195 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental PPO Preferred Plan for Families Adult Standard ST OON Dep 25 Adult/Family Dental",,,,
2026,NY,,10345,SERFF,1,1/13/2026,,Individual,Yes,,10345NY0030009,"DeltaCare USA Basic Plan for Families NS INN Dep 25 Family Dental",10345NY003,,NYN002,NYS002,,Existing,HMO,Low,,"On the Exchange",,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,No,,No,"Nationwide Network",Yes,,,,,10345NY0030009-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"Not Applicable","per person not applicable | per group not applicable",,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"DeltaCare USA Basic Plan for Families NS INN Dep 25 Family Dental",,,,
2026,NY,,11177,SERFF,1,1/13/2026,,Individual,No,,11177NY0010001,"BronzePlus-B1, ST,  INN, Pediatric Dental, Dep25, Metro-MP",11177NY001,,NYN001,NYS001,NYF006,Existing,HMO,"Expanded Bronze",Yes,Both,No,Yes,"All specialists with the exception of assigned Primary and preventive obstetric and gynecologic provider",,No,,,"Allows Adult-Only",11177NY0030001,No,,,,,,,3,1/1/2026,12/31/2026,Yes,"Emergency Only",Yes,"Emergency Only",No,,,,,11177NY0010001-01,"Standard Bronze On Exchange Plan",64.99%,0.649910463,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,150 ","$10150 per person | $20300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,125 ","$4125 per person | $8250 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,100 ","$1,500 ","$0 ","$1,500 ","$2,100 ","$100 ","$0 ","$20 ",99%,"Not Applicable",No,"BronzePlus-B1, ST,  INN, Pediatric Dental, Dep25, Metro-MP","$2,800 ","$0 ","$0 ","$0 "
2026,NY,,11177,SERFF,1,1/13/2026,,Individual,No,,11177NY0010001,"BronzePlus-B1, ST,  INN, Pediatric Dental, Dep25, Metro-MP",11177NY001,,NYN001,NYS001,NYF006,Existing,HMO,"Expanded Bronze",Yes,Both,No,Yes,"All specialists with the exception of assigned Primary and preventive obstetric and gynecologic provider",,No,,,"Allows Adult-Only",11177NY0030001,No,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Only",Yes,"Emergency Only",No,,,,,11177NY0010001-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"BronzePlus-B1, ST,  INN, Pediatric Dental, Dep25, Metro-MP","$0 ","$0 ","$0 ","$0 "
2026,NY,,11177,SERFF,1,1/13/2026,,Individual,No,,11177NY0010001,"BronzePlus-B1, ST,  INN, Pediatric Dental, Dep25, Metro-MP",11177NY001,,NYN001,NYS001,NYF006,Existing,HMO,"Expanded Bronze",Yes,Both,No,Yes,"All specialists with the exception of assigned Primary and preventive obstetric and gynecologic provider",,No,,,"Allows Adult-Only",11177NY0030001,No,,,,,,,3,1/1/2026,12/31/2026,Yes,"Emergency Only",Yes,"Emergency Only",No,,,,,11177NY0010001-03,"Limited Cost Sharing Plan Variation",64.99%,0.649910463,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,150 ","$10150 per person | $20300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,125 ","$4125 per person | $8250 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,100 ","$1,500 ","$0 ","$1,500 ","$2,100 ","$100 ","$0 ","$20 ",99%,"Not Applicable",No,"BronzePlus-B1, ST,  INN, Pediatric Dental, Dep25, Metro-MP","$2,800 ","$0 ","$0 ","$0 "
2026,NY,,11177,SERFF,1,1/13/2026,,Individual,No,,11177NY0010002,"BronzePlus-B1, ST, INN, Pediatric Dental, Dep29, Metro-MP",11177NY001,,NYN001,NYS001,NYF006,Existing,HMO,"Expanded Bronze",Yes,Both,No,Yes,"All specialists with the exception of assigned Primary and preventive obstetric and gynecologic provider",,No,,,"Allows Adult-Only",11177NY0030001,No,,,,,,,3,1/1/2026,12/31/2026,Yes,"Emergency Only",Yes,"Emergency Only",No,,,,,11177NY0010002-01,"Standard Bronze On Exchange Plan",64.99%,0.649910463,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,150 ","$10150 per person | $20300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,125 ","$4125 per person | $8250 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,100 ","$1,500 ","$0 ","$1,500 ","$2,100 ","$100 ","$0 ","$20 ",99%,"Not Applicable",No,"BronzePlus-B1, ST, INN, Pediatric Dental, Dep29, Metro-MP","$2,800 ","$0 ","$0 ","$0 "
2026,NY,,11177,SERFF,1,1/13/2026,,Individual,No,,11177NY0010002,"BronzePlus-B1, ST, INN, Pediatric Dental, Dep29, Metro-MP",11177NY001,,NYN001,NYS001,NYF006,Existing,HMO,"Expanded Bronze",Yes,Both,No,Yes,"All specialists with the exception of assigned Primary and preventive obstetric and gynecologic provider",,No,,,"Allows Adult-Only",11177NY0030001,No,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Only",Yes,"Emergency Only",No,,,,,11177NY0010002-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"BronzePlus-B1, ST, INN, Pediatric Dental, Dep29, Metro-MP","$0 ","$0 ","$0 ","$0 "
2026,NY,,11177,SERFF,1,1/13/2026,,Individual,No,,11177NY0010002,"BronzePlus-B1, ST, INN, Pediatric Dental, Dep29, Metro-MP",11177NY001,,NYN001,NYS001,NYF006,Existing,HMO,"Expanded Bronze",Yes,Both,No,Yes,"All specialists with the exception of assigned Primary and preventive obstetric and gynecologic provider",,No,,,"Allows Adult-Only",11177NY0030001,No,,,,,,,3,1/1/2026,12/31/2026,Yes,"Emergency Only",Yes,"Emergency Only",No,,,,,11177NY0010002-03,"Limited Cost Sharing Plan Variation",64.99%,0.649910463,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,150 ","$10150 per person | $20300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,125 ","$4125 per person | $8250 per group",50.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,100 ","$1,500 ","$0 ","$1,500 ","$2,100 ","$100 ","$0 ","$20 ",99%,"Not Applicable",No,"BronzePlus-B1, ST, INN, Pediatric Dental, Dep29, Metro-MP","$2,800 ","$0 ","$0 ","$0 "
