"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","SERVICE AREA ID","SERVICE AREA NAME","COVER ENTIRE STATE",COUNTY,"COUNTY NAME","PARTIAL COUNTY","ZIP CODE","PARTIAL COUNTY JUSTIFICATION","MARKET COVERAGE","DENTAL PLAN ONLY"
2026,NY,10345,SERFF,1,01-13-2026,NYS001,"PPO INDIVIDUAL",true,,,,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Genesee - 36037",Genesee,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Bronx - 36005",Bronx,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Nassau - 36059",Nassau,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Queens - 36081",Queens,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"New York - 36061","New York",false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Kings - 36047",Kings,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Westchester - 36119",Westchester,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Richmond - 36085",Richmond,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Suffolk - 36103",Suffolk,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Rockland - 36087",Rockland,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Rensselaer - 36083",Rensselaer,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS002,"DHMO INDIVIDUAL",false,"Orange - 36071",Orange,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS003,"PPO SHOP",true,,,,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Westchester - 36119",Westchester,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"New York - 36061","New York",false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Genesee - 36037",Genesee,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Orange - 36071",Orange,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Rensselaer - 36083",Rensselaer,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Richmond - 36085",Richmond,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Bronx - 36005",Bronx,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Nassau - 36059",Nassau,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Rockland - 36087",Rockland,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Kings - 36047",Kings,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Queens - 36081",Queens,false,,,Individual,Yes
2026,NY,10345,SERFF,1,01-13-2026,NYS004,"DHMO SHOP",false,"Suffolk - 36103",Suffolk,false,,,Individual,Yes
2026,NY,11177,SERFF,1,01-13-2026,NYS001,"MetroPlus - MarketPlace",false,"Queens - 36081",Queens,false,,,Individual,No
2026,NY,11177,SERFF,1,01-13-2026,NYS001,"MetroPlus - MarketPlace",false,"New York - 36061","New York",false,,,Individual,No
2026,NY,11177,SERFF,1,01-13-2026,NYS001,"MetroPlus - MarketPlace",false,"Kings - 36047",Kings,false,,,Individual,No
2026,NY,11177,SERFF,1,01-13-2026,NYS001,"MetroPlus - MarketPlace",false,"Richmond - 36085",Richmond,false,,,Individual,No
2026,NY,11177,SERFF,1,01-13-2026,NYS001,"MetroPlus - MarketPlace",false,"Bronx - 36005",Bronx,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Cattaraugus - 36009",Cattaraugus,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Allegany - 36003",Allegany,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Wyoming - 36121",Wyoming,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Niagara - 36063",Niagara,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Chautauqua - 36013",Chautauqua,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Genesee - 36037",Genesee,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Orleans - 36073",Orleans,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS001,"All 8 Counties of WNY - Ind",false,"Erie - 36029",Erie,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Orleans - 36073",Orleans,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Cattaraugus - 36009",Cattaraugus,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Wyoming - 36121",Wyoming,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Genesee - 36037",Genesee,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Erie - 36029",Erie,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Allegany - 36003",Allegany,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Niagara - 36063",Niagara,false,,,Individual,No
2026,NY,18029,SERFF,1,01-13-2026,NYS002,"All 8 Counties of WNY - Sm",false,"Chautauqua - 36013",Chautauqua,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Cattaraugus - 36009",Cattaraugus,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Westchester - 36119",Westchester,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Steuben - 36101",Steuben,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Rockland - 36087",Rockland,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Hamilton - 36041",Hamilton,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Essex - 36031",Essex,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Ulster - 36111",Ulster,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Erie - 36029",Erie,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Ontario - 36069",Ontario,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Franklin - 36033",Franklin,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Washington - 36115",Washington,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Rensselaer - 36083",Rensselaer,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Livingston - 36051",Livingston,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Allegany - 36003",Allegany,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Chautauqua - 36013",Chautauqua,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Saint Lawrence - 36089","Saint Lawrence",false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Nassau - 36059",Nassau,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Chemung - 36015",Chemung,false,,,Individual,No
2026,NY,25303,SERFF,1,01-13-2026,NYS001,"Area 1",false,"Fulton - 36035",Fulton,false,,,Individual,No
