"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","NETWORK ID","NETWORK NAME","NETWORK URL","MARKET COVERAGE","DENTAL PLAN ONLY"
2026,PA,15614,SERFF,1,01-13-2026,PAN001,"DDS DHMO",,Individual,Yes
2026,PA,15614,SERFF,1,01-13-2026,PAN002,"Elite PPO",,Individual,Yes
2026,PA,15983,SERFF,1,01-13-2026,PAN001,Premier,,Individual,No
2026,PA,16322,SERFF,1,01-13-2026,PAN006,"IND EPO Partner w/Dental Advantage w/Dentemax PEDS PPO - 2026",,Individual,No
2026,PA,16322,SERFF,1,01-13-2026,PAN007,"IND EPO Select w/Dental Advantage w/Dentemax PEDS PPO - 2026",,Individual,No
2026,PA,16322,SERFF,1,01-13-2026,PAN008,"IND PPO Premium West w/Dental Advantage w/Dentemax PEDS PPO - 2026",,Individual,No
2026,PA,16322,SERFF,1,01-13-2026,PAN009,"IND PPO Premium East w/Dental Advantage w/Dentemax PEDS PPO - 2026",,Individual,No
2026,PA,19702,SERFF,1,01-13-2026,PAN001,"JHP Network",,Individual,No
2026,PA,22444,SERFF,1,01-13-2026,PAN001,"Geisinger Marketplace All-Access HMO",,Individual,No
2026,PA,22444,SERFF,1,01-13-2026,PAN002,"Geisinger Marketplace Premier HMO",,Individual,No
2026,PA,23489,SERFF,1,01-13-2026,PAN011,"EssentialSmile Pennsylvania - Total Care",,Individual,Yes
2026,PA,23489,SERFF,1,01-13-2026,PAN012,"Smile Now Pennsylvania - PPO",,Individual,Yes
2026,PA,31609,SERFF,1,01-13-2026,PAN001,"Personal Choice with Standard Pharmacy (Consumer) ",,Individual,No
2026,PA,31609,SERFF,1,01-13-2026,PAN002,"Personal Choice with Preferred Pharmacy (Consumer) ",,Individual,No
2026,PA,32561,SERFF,1,01-13-2026,PAN002,"DentalGuard Preferred - Individual",,Individual,Yes
2026,PA,33709,SERFF,1,01-13-2026,PAN002,"ACA Select Network WPA",,Individual,No
2026,PA,33709,SERFF,1,01-13-2026,PAN003,"Premier BlueShield CPA",,Individual,No
2026,PA,33709,SERFF,1,01-13-2026,PAN004,"Keystone Health Plan West",,Individual,No
2026,PA,33709,SERFF,1,01-13-2026,PAN005,"ACA Select Network CPA",,Individual,No
2026,PA,33871,SERFF,1,01-13-2026,PAN001,"Keystone HMO with Standard Pharmacy (Consumer)",,Individual,No
2026,PA,33871,SERFF,1,01-13-2026,PAN002,"Keystone HMO with Preferred Pharmacy (Consumer) ",,Individual,No
2026,PA,33871,SERFF,1,01-13-2026,PAN005,"Keystone HMO Proactive (Consumer)",,Individual,No
2026,PA,36160,SERFF,1,01-13-2026,PAN001,Premier,,Individual,Yes
2026,PA,36160,SERFF,1,01-13-2026,PAN002,Advantage,,Individual,Yes
2026,PA,45127,SERFF,1,01-13-2026,PAN001,"Capital Blue Cross Dental Select (HMO) IA",,Individual,Yes
2026,PA,45127,SERFF,1,01-13-2026,PAN002,"Capital Blue Cross Dental PPO IA",,Individual,Yes
2026,PA,45127,SERFF,1,01-13-2026,PAN005,"Capital Blue Cross Capital Advantage PPO IA",,Individual,No
2026,PA,45127,SERFF,1,01-13-2026,PAN006,"Capital Blue Cross PPO IA",,Individual,No
2026,PA,45127,SERFF,1,01-13-2026,PAN007,"Capital Blue Cross Advance PPO IA",,Individual,No
2026,PA,45127,SERFF,1,01-13-2026,PAN009,"Capital Blue Cross Convenience PPO IA",,Individual,No
2026,PA,52899,SERFF,1,01-13-2026,PAN002,"IND HMO Standard Referral w/Dental Advantage w/Dentemax PEDS PPO - 2026",,Individual,No
2026,PA,67499,SERFF,1,01-13-2026,PAN001,"HumanaDental PPO/Traditional Preferred",,Individual,Yes
2026,PA,68711,SERFF,1,01-13-2026,PAN003,"PA Marketplace  PPO Network",,Individual,Yes
2026,PA,71933,SERFF,1,01-13-2026,PAN001,"BEST Life and Health National Network",,Individual,Yes
2026,PA,75729,SERFF,1,01-13-2026,PAN001,"Geisinger Marketplace All-Access PPO",,Individual,No
2026,PA,79279,SERFF,1,01-13-2026,PAN002,"ACA Select Network WPA",,Individual,No
2026,PA,79962,SERFF,1,01-13-2026,PAN002,"ACA Select Network WPA",,Individual,No
2026,PA,79962,SERFF,1,01-13-2026,PAN003,"Premier BlueShield CPA",,Individual,No
2026,PA,82110,SERFF,1,01-13-2026,PAN001,"Delta Dental PPO Individual",,Individual,Yes
2026,PA,82110,SERFF,1,01-13-2026,PAN002,"DeltaCare USA Individual",,Individual,Yes
2026,PA,93909,SERFF,1,01-13-2026,PAN001,"JHP Network",,Individual,No
2026,PA,98517,SERFF,1,01-13-2026,PAN001,"Individual Pennsylvania",,Individual,No
