"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0010003,"Select Plan Basic Kids",15614PA001,,PAN001,PAS001,,Existing,HMO,Low,,Both,,,,"Co-insurance equivalent percentages displayed. Discount provided for non-medically necessary orthodontia. Must choose participating Select Plan dentist.",,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",No,,,,,15614PA0010003-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"Not Applicable","per person not applicable | per group not applicable",,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Select Plan Basic Kids",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0010004,"Select Plan Basic",15614PA001,,PAN001,PAS001,,Existing,HMO,Low,,Both,,,,"Out of Pocket Maximum applies to children only. Co-insurance equivalent percentages displayed. Discount provided for non-medically necessary orthodontia. Must choose participating Select Plan dentist.",,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",No,,,,,15614PA0010004-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"Not Applicable","per person not applicable | per group not applicable",,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Select Plan Basic",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0010005,"Select Plan Premium Kids",15614PA001,,PAN001,PAS001,,Existing,HMO,High,,Both,,,,"Co-insurance equivalent percentages displayed. Discount provided for non-medically necessary orthodontia. Must choose participating Select Plan dentist.",,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",No,,,,,15614PA0010005-01,"Standard High On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"Not Applicable","per person not applicable | per group not applicable",,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Select Plan Premium Kids",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0010006,"Select Plan Premium",15614PA001,,PAN001,PAS001,,Existing,HMO,High,,Both,,,,"Out of Pocket Maximum applies to children only. Co-insurance equivalent percentages displayed. Discount provided for non-medically necessary orthodontia. Must choose participating Select Plan dentist.",,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",Yes,"Emergency pain treatment only if 50 miles away from home ZIP code, up to $100",No,,,,,15614PA0010006-01,"Standard High On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"Not Applicable","per person not applicable | per group not applicable",,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Select Plan Premium",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0020003,"Elite PPO Premium Kids",15614PA002,,PAN002,PAS002,,Existing,PPO,High,,Both,,,,,,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Standard Out of Network PPO Benefits",Yes,"Standard Out of Network PPO Benefits",Yes,,,,,15614PA0020003-01,"Standard High On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $100 per group",,,,,"$50 ","$50 per person | $100 per group","$50 ","$50 per person | $100 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Elite PPO Premium Kids",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0020004,"Elite PPO Basic",15614PA002,,PAN002,PAS002,,Existing,PPO,Low,,Both,,,,"Out of Pocket Maximum applies to children only. Adults have separate deductible and plan payment maximum, refer to plan document for details.",,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Standard Out of Network PPO Benefits",Yes,"Standard Out of Network PPO Benefits",Yes,,,,,15614PA0020004-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$100 ","$100 per person | $200 per group",,,,,"$100 ","$100 per person | $200 per group","$100 ","$100 per person | $200 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Elite PPO Basic",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0020005,"Elite PPO Basic Kids",15614PA002,,PAN002,PAS002,,Existing,PPO,Low,,Both,,,,,,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Standard Out of Network PPO Benefits",Yes,"Standard Out of Network PPO Benefits",Yes,,,,,15614PA0020005-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$100 ","$100 per person | $200 per group",,,,,"$100 ","$100 per person | $200 per group","$100 ","$100 per person | $200 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Elite PPO Basic Kids",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0020006,"Elite PPO Premium",15614PA002,,PAN002,PAS002,,Existing,PPO,High,,Both,,,,"Out of Pocket Maximum applies to children only. Adults have separate deductible and plan payment maximum, refer to plan document for details.",,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Standard Out of Network PPO Benefits",Yes,"Standard Out of Network PPO Benefits",Yes,,,,,15614PA0020006-01,"Standard High On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $100 per group",,,,,"$50 ","$50 per person | $100 per group","$50 ","$50 per person | $100 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Elite PPO Premium",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0020007,"Elite PPO Plus",15614PA002,,PAN002,PAS002,,Existing,PPO,Low,,Both,,,,"Out of Pocket Maximum applies to children only. Adults have separate deductible and plan payment maximum, refer to plan document for details",,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Standard Out of Network PPO Benefits",Yes,"Standard Out of Network PPO Benefits",Yes,,,,,15614PA0020007-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$100 ","$100 per person | $200 per group",,,,,"$100 ","$100 per person | $200 per group","$100 ","$100 per person | $200 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Elite PPO Plus",,,,
2026,PA,,15614,SERFF,1,1/13/2026,,Individual,Yes,,15614PA0020009,"Elite PPO Preventive",15614PA002,,PAN002,PAS002,,Existing,PPO,Low,,Both,,,,"Out of Pocket Maximum applies to children only. Adults have separate deductible and plan payment maximum, refer to plan document for details",,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2026,12/31/2026,Yes,"Standard Out of Network PPO Benefits",Yes,"Standard Out of Network PPO Benefits",Yes,,,,,15614PA0020009-01,"Standard Low On Exchange Plan",,,,,No,100,,"$450 ","$450 per person | $900 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$100 ","$100 per person | $200 per group",,,,,"$100 ","$100 per person | $200 per group","$100 ","$100 per person | $200 per group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Elite PPO Preventive",,,,
