"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380001,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF015,Existing,HMO,Silver,Yes,Both,No,No,,No,Yes,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380001-01,"Standard Silver On Exchange Plan",71.90%,0.713363676,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$6,850 ","$6850 per person | $13700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,400 ","$3400 per person | $6800 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$3,400 ","$500 ","$0 ","$60 ","$3,400 ","$200 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus","$2,800 ","$0 ","$0 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380001,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF015,Existing,HMO,Silver,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380001-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO Silver 0 Med Ded VisionPlus Virtual Connect Plus NA0","$0 ","$0 ","$0 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380001,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF015,Existing,HMO,Silver,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380001-03,"Limited Cost Sharing Plan Variation",71.90%,0.713363676,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$6,850 ","$6850 per person | $13700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,400 ","$3400 per person | $6800 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus NAL","$0 ","$0 ","$0 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380001,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF015,Existing,HMO,Silver,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380001-04,"73% AV Level Silver Plan",73.92%,0.734392786,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$6,500 ","$6500 per person | $13000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,600 ","$2600 per person | $5200 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,600 ","$500 ","$0 ","$60 ","$2,600 ","$300 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO Silver 2600 Med Ded 25 Dent Ded A VisionPlus Virtual Connect Plus","$2,600 ","$100 ","$0 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380001,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF015,Existing,HMO,Silver,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380001-05,"87% AV Level Silver Plan",87.94%,0.886065672,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$3,350 ","$3350 per person | $6700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$250 ","$250 per person | $500 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$250 ","$400 ","$0 ","$60 ","$250 ","$700 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO Silver 250 Med Ded 25 Dent Ded B VisionPlus Virtual Connect Plus","$250 ","$800 ","$50 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380001,"BlueChoice HMO HSA Silver 3400 Med Ded 25 Dent Ded VisionPlus Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF015,Existing,HMO,Silver,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380001-06,"94% AV Level Silver Plan",94.94%,0.967669742,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$1,650 ","$1650 per person | $3300 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$100 ","$0 ","$60 ","$0 ","$50 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO Silver 0 Med Ded 25 Dent Ded C VisionPlus Virtual Connect Plus","$0 ","$300 ","$50 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380003,"BlueChoice HMO Gold 1750 Med Ded 150 Drug Ded 25 Dent Ded Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF016,Existing,HMO,Gold,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380003-01,"Standard Gold On Exchange Plan",81.94%,0.812347726,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$7,800 ","$7800 per person | $15600 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$1,750 ","$1750 per person | $3500 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$150 ","$150 per person | per group not applicable",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$1,750 ","$500 ","$0 ","$60 ","$100 ","$600 ","$0 ","$20 ",99%,"Not Applicable",No,"BlueChoice HMO Gold 1750 Med Ded 150 Drug Ded 25 Dent Ded Virtual Connect Plus","$1,750 ","$400 ","$40 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380003,"BlueChoice HMO Gold 1750 Med Ded 150 Drug Ded 25 Dent Ded Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF016,Existing,HMO,Gold,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380003-02,"Zero Cost Sharing Plan Variation",100.00%,1,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"BlueChoice HMO Gold 0 Med Ded Virtual Connect Plus NA0","$0 ","$0 ","$0 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380003,"BlueChoice HMO Gold 1750 Med Ded 150 Drug Ded 25 Dent Ded Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF016,Existing,HMO,Gold,Yes,Both,No,No,,No,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,5,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380003-03,"Limited Cost Sharing Plan Variation",81.94%,0.812347726,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$7,800 ","$7800 per person | $15600 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$1,750 ","$1750 per person | $3500 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$150 ","$150 per person | per group not applicable",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"BlueChoice HMO Gold 1750 Med Ded 150 Drug Ded 25 Dent Ded Virtual Connect Plus NAL ","$0 ","$0 ","$0 ","$0 "
2026,VA,,10207,SERFF,1,5/20/2026,,Individual,No,,10207VA0380004,"BlueChoice HMO Young Adult 10600 Med Ded Virtual Connect Plus",10207VA038,,VAN001,VAS001,VAF017,Existing,HMO,Catastrophic,No,Both,No,No,,No,Yes,,,"Allows Adult and Child-Only",,Yes,"High Blood Pressure & High Cholesterol, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,3,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"Emergency Services Only",No,,,,,10207VA0380004-01,"Standard Catastrophic On Exchange Plan",,,Yes,Yes,No,100,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$10,600 ","$10600 per person | $21200 per group",0.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$9,400 ","$0 ","$0 ","$60 ","$4,800 ","$0 ","$0 ","$20 ",98%,"Not Applicable",No,"BlueChoice HMO Young Adult 10600 Med Ded Virtual Connect Plus","$2,800 ","$0 ","$0 ","$0 "
