"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","NETWORK ID","NETWORK NAME","NETWORK URL","MARKET COVERAGE","DENTAL PLAN ONLY"
2026,WA,12435,SERFF,1,01-13-2026,WAN001,"Wellpoint Washington Essential",,Individual,No
2026,WA,15988,SERFF,1,01-13-2026,WAN001,"Dentegra Dental PPO",,Individual,Yes
2026,WA,18581,SERFF,1,01-13-2026,WAN001,"CHPW Cascade Care Affiliates Network",,Individual,No
2026,WA,23371,SERFF,1,01-13-2026,WAN001,"Classic ",,Individual,No
2026,WA,23371,SERFF,1,01-13-2026,WAN006,Dental,,Individual,Yes
2026,WA,38498,SERFF,1,01-13-2026,WAN001,"LifeWise Primary",,Individual,No
2026,WA,38498,SERFF,1,01-13-2026,WAN002,"Dental Value",,Individual,Yes
2026,WA,38498,SERFF,1,01-13-2026,WAN003,"LifeWise Alpine",,Individual,No
2026,WA,49831,SERFF,1,01-13-2026,WAN001,"Individual Signature",,Individual,No
2026,WA,53732,SERFF,1,01-13-2026,WAN001,"Individual Value",,Individual,No
2026,WA,58105,SERFF,1,01-13-2026,WAN001,"Delta Dental PPO plus Premier",,Individual,Yes
2026,WA,61836,SERFF,1,01-13-2026,WAN001,"CCCWA Exchange",,Individual,No
2026,WA,61836,SERFF,1,01-13-2026,WAN002,"Cascade Complete Care",,Individual,No
2026,WA,62650,SERFF,1,01-13-2026,WAN011,"Charter as presented by UHCOR",,Individual,No
2026,WA,71281,SERFF,1,01-13-2026,WAN001,"Individual Connect",,Individual,No
2026,WA,71281,SERFF,1,01-13-2026,WAN002,Legacy,,Individual,No
2026,WA,75928,SERFF,1,01-13-2026,WAN001,DenteMax,,Individual,Yes
2026,WA,80473,SERFF,1,01-13-2026,WAN001,Core,,Individual,No
2026,WA,84481,SERFF,1,01-13-2026,WAN001,"Molina Marketplace ",,Individual,No
2026,WA,87718,SERFF,1,01-13-2026,WAN001,"Individual Connect",,Individual,No
