"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","SERVICE AREA ID","SERVICE AREA NAME","COVER ENTIRE STATE",COUNTY,"COUNTY NAME","PARTIAL COUNTY","ZIP CODE","PARTIAL COUNTY JUSTIFICATION","MARKET COVERAGE","DENTAL PLAN ONLY"
2026,WA,12435,SERFF,1,01-13-2026,WAS001,"Wellpoint Washington, Inc.",false,"King - 53033",King,false,,,Individual,No
2026,WA,12435,SERFF,1,01-13-2026,WAS001,"Wellpoint Washington, Inc.",false,"Grays Harbor - 53027","Grays Harbor",false,,,Individual,No
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Whatcom - 53073",Whatcom,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Kitsap - 53035",Kitsap,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"King - 53033",King,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Snohomish - 53061",Snohomish,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Spokane - 53063",Spokane,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Clark - 53011",Clark,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Mason - 53045",Mason,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Pierce - 53053",Pierce,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Skagit - 53057",Skagit,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"San Juan - 53055","San Juan",false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Cowlitz - 53015",Cowlitz,false,,,Individual,Yes
2026,WA,15988,SERFF,1,01-13-2026,WAS001,"Dentegra PPO",false,"Thurston - 53067",Thurston,false,,,Individual,Yes
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Jefferson - 53031",Jefferson,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Chelan - 53007",Chelan,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Asotin - 53003",Asotin,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Spokane - 53063",Spokane,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Columbia - 53013",Columbia,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"King - 53033",King,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Benton - 53005",Benton,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Clallam - 53009",Clallam,false,,,Individual,No
2026,WA,18581,SERFF,1,01-13-2026,WAS001,"Washington Cascade Select",false,"Kitsap - 53035",Kitsap,false,,,Individual,No
