domain,url_count,quality_score,cultural_relevance_score,confidence,reasoning,priority,sample_urls
www.loom.com,102,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.loom.com/sh=; https://www.loom.com/share/d75418f05b7341a58aefffa40a10ab06; https://www.loom.com/share/16bd35d6822441c39fa8d72eddfc3b78=
www.w3.org,85,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.w3.org/1999/xhtml; http://www.w3.org/1999/xhtml; http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd
calendly.com,49,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://calendly.com/cancellations/HGXCGVEVV6YJGSFL; https://calendly.com/reschedulings/HGXCGVEVV6YJGSFL; https://calendly.com/res=
coachingnocodeapps.wufoo.com,47,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://coachingnocodeapps.wufoo.com/forms/z18k6uft0grqxr8/; https://coachingnocodeapps.wufoo.com/forms/z1pok34v1ruqrqe; https://coachingnocodeapps.wufoo.com/forms/kwr2dv81f778su/
www.strategyzer.com,38,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.strategyzer.com/e2t/sc2/MmZ-8ykzq0xW64=; https://www.strategyzer.com/e2t/=; https://www.strategyzer.com/e2t/sc2/MmZ-8ykzq0xW64KLRz4L-LgjW8YvLqj5t9m5lW=
section4.acemlna.com,34,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://section4.acemlna.com/proc.php?nl=2&c=229&m=313&s=e59751a47306668d343733e63cd99b32&act=unsub; https://section4.acemlna.com/lt.php?s=e59751a47306668d343733e63cd99b32&i=229A313A2A4822; https://section4.acemlna.com/lt.php?s=e59751a47306668d343733e63cd99b32&i=229A313A2A4825
info.blackswanltd.com,32,0.5,0.022727272727272728,0.5,Medium value domain requiring human assessment,NORMAL,https://info.blackswanltd.com/e2t/sc2/MmZ-8yk7s3hW71S=; https://info.blackswanltd.com/hs/manage-pref=; https://info.blackswanltd.com/e2t/sc2/=
links.fbztrk.com,31,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://links.fbztrk.com/c/cP3/2Qs/1NKQwKsthb86usp5PRuh_y/Fa/cxI=; https://links.fbztrk.com/c/cP3/2Q5/1NKQwKst=; https://links.fbztrk.com/c/cP3/2QO/1NKQwKsthb86usp5PRuh_y/Fa/cxIp/F/521cc26=
www.google.com,30,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.google.com/url?q=3Dhttps%3A%2F%2Fzoom.us%2Fj%3D; https://www.google.com/calendar/; https://www.google.com/calendar/=
twitter.com,29,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://twitter.com/dollarsanddata); https://twitter.com/founding; https://twitter.com/extracrunch
